name,id,lon,lat
W 52 St & 11 Ave,72,-73.99392888,40.76727216
Franklin St & W Broadway,79,-74.00666661,40.71911552
St James Pl & Pearl St,82,-74.00016545,40.71117416
Barrow St & Hudson St,127,-74.00674436,40.73172428
MacDougal St & Prince St,128,-74.00297088,40.72710258
Hudson St & Reade St,146,-74.0091059,40.71625008
E 2 St & Avenue C,150,-73.98085795,40.7208736
Cleveland Pl & Spring St,151,-73.99724901,40.72210379
Warren St & Church St,152,-74.00910627,40.71473993
LaGuardia Pl & W 3 St,161,-73.99810231,40.72917025
E 47 St & 2 Ave,164,-73.97032517,40.75323098
E 39 St & 3 Ave,167,-73.97604882,40.7489006
W 18 St & 6 Ave,168,-73.99456405,40.73971301
Broadway & W 49 St,173,-73.98452729,40.76068327
E 25 St & 1 Ave,174,-73.97738662,40.7381765
Liberty St & Broadway,195,-74.01043382,40.70905623
W 16 St & The High Line,212,-74.00681753,40.74334935
W 13 St & 7 Ave,223,-73.99994661,40.73781509
E 48 St & 3 Ave,228,-73.97187886,40.7546011
Great Jones St,229,-73.99379025,40.72743423
St Marks Pl & 2 Ave,236,-73.98713956,40.7284186
E 11 St & 2 Ave,237,-73.98672378,40.73047309
Bank St & Washington St,238,-74.00859207,40.7361967
Perry St & Bleecker St,247,-74.00483091,40.73535398
Laight St & Hudson St,248,-74.00771779,40.72185379
Harrison St & Hudson St,249,-74.0090009,40.71870987
Mott St & Prince St,251,-73.99480012,40.72317958
MacDougal St & Washington Sq,252,-73.99852205,40.73226398
W 13 St & 5 Ave,253,-73.99453948,40.73543934
W 11 St & 6 Ave,254,-73.99800419,40.73532427
Lispenard St & Broadway,257,-74.00247214,40.71939226
South St & Whitehall St,259,-74.01234218,40.70122128
Broad St & Bridge St,260,-74.01167797,40.70365182
Maiden Ln & Pearl St,264,-74.00731853,40.70706456
Stanton St & Chrystie St,265,-73.99147535,40.72229346
Avenue D & E 8 St,266,-73.97574813,40.72368361
Broadway & W 36 St,267,-73.98765428,40.75097711
Howard St & Centre St,268,-73.99973337,40.71910537
Duane St & Greenwich St,276,-74.0104554,40.71748752
Peck Slip & Front St,279,-74.00167,40.707873
E 10 St & 5 Ave,280,-73.99510132,40.73331967
Grand Army Plaza & Central Park S,281,-73.97371465,40.7643971
Greenwich Ave & 8 Ave,284,-74.00263761,40.73901691
Broadway & E 14 St,285,-73.99074142,40.73454567
Madison St & Montgomery St,291,-73.984844,40.713126
Lafayette St & E 8 St,293,-73.99102628,40.73020661
Pike St & E Broadway,295,-73.99293911,40.71406667
Division St & Bowery,296,-73.9970468,40.71413089
E 15 St & 3 Ave,297,-73.986923,40.734232
E 2 St & Avenue B,301,-73.98368779,40.72217444
Avenue D & E 3 St,302,-73.97793172,40.72082834
Mercer St & Spring St,303,-73.99949601,40.72362738
Broadway & Battery Pl,304,-74.01361706,40.70463334
E 58 St & 3 Ave,305,-73.96724467,40.76095756
Cliff St & Fulton St_1,306,-74.00530063,40.70823502
Canal St & Rutgers St,307,-73.98990025,40.71427487
St James Pl & Oliver St,308,-73.99851193,40.71307916
Murray St & West St,309,-74.013012,40.7149787
Norfolk St & Broome St,311,-73.98802084,40.7172274
Allen St & Stanton St,312,-73.989111,40.722055
South St & Gouverneur Ln,315,-74.00670227,40.70355377
Fulton St & William St,316,-74.00653609,40.70955958
E 6 St & Avenue B,317,-73.98185424,40.72453734
Fulton St & Broadway,319,-74.009447,40.711066
Leonard St & Church St,320,-74.005549,40.717571
E 19 St & 3 Ave,325,-73.98473765,40.73624527
E 11 St & 1 Ave,326,-73.98426726,40.72953837
Vesey Pl & River Terrace,327,-74.01658354,40.7153379
Watts St & Greenwich St,328,-74.00965965,40.72405549
Reade St & Broadway,330,-74.00562789,40.71450451
Pike St & Monroe St,331,-73.99193043,40.71173107
Cherry St,332,-73.97948148,40.71219906
W 20 St & 7 Ave,334,-73.99726235,40.74238787
Washington Pl & Broadway,335,-73.99404649,40.72903917
Sullivan St & Washington Sq,336,-73.99906065,40.73047747
Old Slip & Front St,337,-74.00838676,40.7037992
Avenue D & E 12 St,339,-73.97422494,40.72580614
Madison St & Clinton St,340,-73.98776323,40.71269042
Stanton St & Mangin St,341,-73.97628939,40.71782143
Columbia St & Rivington St,342,-73.98016555,40.71739973
W 13 St & 6 Ave,345,-73.99704374,40.73649403
Bank St & Hudson St,346,-74.00618026,40.73652889
Greenwich St & W Houston St,347,-74.008591,40.728846
Rivington St & Ridge St,349,-73.98329859,40.71850211
Clinton St & Grand St,350,-73.9870295,40.71559509
Front St & Maiden Ln,351,-74.00612572,40.70530954
Bayard St & Baxter St,355,-73.99974372,40.71602118
Bialystoker Pl & Delancey St,356,-73.98261206,40.71622644
E 11 St & Broadway,357,-73.99158043,40.73261787
Christopher St & Greenwich St,358,-74.00711384,40.73291553
E 47 St & Park Ave,359,-73.97498696,40.75510267
William St & Pine St,360,-74.00887308,40.70717936
Allen St & Hester St,361,-73.99190759,40.71605866
Broadway & W 37 St,362,-73.98753523,40.75172632
West Thames St,363,-74.01713445,40.70834698
Carmine St & 6 Ave,368,-74.00214988,40.73038599
Washington Pl & 6 Ave,369,-74.00026394,40.73224119
John St & William St,376,-74.00722156,40.70862144
6 Ave & Canal St,377,-74.00566443,40.72243797
W 31 St & 7 Ave,379,-73.9916,40.749156
W 4 St & 7 Ave S,380,-74.00293877,40.73401143
University Pl & E 14 St,382,-73.99200509,40.73492695
Greenwich Ave & Charles St,383,-74.000271,40.735238
E 55 St & 2 Ave,385,-73.96603308,40.75797322
Centre St & Worth St,386,-74.00234482,40.71494807
Centre St & Chambers St,387,-74.0046073,40.71273266
W 26 St & 10 Ave,388,-74.00295035,40.74971775
E 5 St & Avenue C,393,-73.97995466,40.72299208
E 9 St & Avenue C,394,-73.97768752,40.72521311
Pitt St & Stanton St,400,-73.98178024,40.71926081
Allen St & Rivington St,401,-73.98997825,40.72019576
Broadway & E 22 St,402,-73.98955109,40.7403432
E 2 St & 2 Ave,403,-73.99069656,40.72502876
Washington St & Gansevoort St,405,-74.008119,40.739323
Market St & Cherry St,408,-73.99400398,40.71076228
Suffolk St & Stanton St,410,-73.98517977,40.72066442
E 6 St & Avenue D,411,-73.97668709,40.72228087
Forsyth St & Canal St,412,-73.99422366,40.7158155
Pearl St & Hanover Square,415,-74.00926027,40.7047177
Barclay St & Church St,417,-74.01020234,40.71291224
W 59 St & 10 Ave,422,-73.988038,40.770513
W 54 St & 9 Ave,423,-73.98690506,40.76584941
West St & Chambers St,426,-74.01322069,40.71754834
Bus Slip & State St,427,-74.013942,40.701907
E 7 St & Avenue A,432,-73.98379855,40.72621788
E 13 St & Avenue A,433,-73.98057249,40.72955361
W 21 St & 6 Ave,435,-73.99415556,40.74173969
St Marks Pl & 1 Ave,438,-73.98564945,40.72779126
E 4 St & 2 Ave,439,-73.98978041,40.7262807
E 45 St & 3 Ave,440,-73.97282625,40.75255434
E 52 St & 2 Ave,441,-73.967416,40.756014
W 27 St & 7 Ave,442,-73.993915,40.746647
E 10 St & Avenue A,445,-73.98142006,40.72740794
W 24 St & 7 Ave,446,-73.99529885,40.74487634
8 Ave & W 52 St,447,-73.9851615,40.76370739
W 37 St & 10 Ave,448,-73.9979009,40.75660359
W 52 St & 9 Ave,449,-73.98789473,40.76461837
W 49 St & 8 Ave,450,-73.98788205,40.76227205
W 22 St & 8 Ave,453,-73.99915362,40.74475148
E 51 St & 1 Ave,454,-73.96592976,40.75455731
1 Ave & E 44 St,455,-73.96905301,40.75001986
E 53 St & Madison Ave,456,-73.97402311,40.7597108
Broadway & W 58 St,457,-73.98169333,40.76695317
11 Ave & W 27 St,458,-74.005226,40.751396
W 20 St & 11 Ave,459,-74.007756,40.746745
E 20 St & 2 Ave,461,-73.98205027,40.73587678
W 22 St & 10 Ave,462,-74.00451887,40.74691959
Broadway & W 41 St,465,-73.98658032,40.75513557
W 25 St & 6 Ave,466,-73.99144871,40.74395411
Broadway & W 56 St,468,-73.98192338,40.7652654
Broadway & W 53 St,469,-73.98268129,40.76344058
W 20 St & 8 Ave,470,-74.00004031,40.74345335
E 32 St & Park Ave,472,-73.98194829,40.7457121
Rivington St & Chrystie St,473,-73.9919254,40.72110063
5 Ave & E 29 St,474,-73.98683077,40.7451677
